Site,TOC,TOC_RL,Moisture,Moisture_RL,,,,,,,,,,
Hazen Creek Nearshore,0.21,0.01,24.1,0.1,,,,,,,,,,
Hazen Creek Nearshore,0.24,0.01,23.9,0.1,,,,,,,,,,
Hazen Creek Nearshore,0.21,0.01,24.4,0.1,,,,,,,,,,
Hazen Creek Nearshore,0.22,0.01,22.7,0.1,,,,,,,,,,
Hazen Creek Nearshore,0.28,0.01,23.8,0.1,,,,,,,,,,
Hazen Creek Nearshore,0.22,0.01,26.7,0.1,,,,,,,,,,
Inner Harbour,0.83,0.01,40,0.1,,,,,,,,,,
Inner Harbour,0.77,0.01,42.3,0.1,,,,,,,,,,
Inner Harbour,0.73,0.01,42.6,0.1,,,,,,,,,,
Inner Harbour,0.69,0.01,42.1,0.1,,,,,,,,,,
Inner Harbour,0.7,0.01,39.3,0.1,,,,,,,,,,
Inner Harbour,0.64,0.01,41.6,0.1,,,,,,,,,,
Tin Can Beach,6.98,0.01,33.6,0.1,,,,,,,,,,
Tin Can Beach,0.93,0.01,33.3,0.1,,,,,,,,,,
Tin Can Beach,0.57,0.01,29.8,0.1,,,,,,,,,,
Tin Can Beach,0.81,0.01,27.7,0.1,,,,,,,,,,
Tin Can Beach,0.84,0.01,29.9,0.1,,,,,,,,,,
Tin Can Beach,1.32,0.01,29.1,0.1,,,,,,,,,,
Spar Cove,3.82,0.01,39.3,0.1,,,,,,,,,,
Spar Cove,2.48,0.01,40.6,0.1,,,,,,,,,,
Spar Cove,1.88,0.01,22,0.1,,,,,,,,,,
Spar Cove,4.34,0.01,48.6,0.1,,,,,,,,,,
Spar Cove,2.93,0.01,37.2,0.1,,,,,,,,,,
Spar Cove,2.48,0.01,19.6,0.1,,,,,,,,,,
